10.72.201.238 - - [24/Mar/2020:09:10:39 +0800] "GET /ecBms/js/common.js HTTP/1.1" 200 1504
10.72.201.238 - - [24/Mar/2020:15:57:23 +0800] "GET /ecbms/ HTTP/1.1" 404 -
10.72.201.238 - - [24/Mar/2020:15:57:33 +0800] "GET /ecbms/login.jsp HTTP/1.1" 404 -
10.72.201.238 - - [24/Mar/2020:15:58:34 +0800] "GET /ecbms/welcome.jsp HTTP/1.1" 404 -
10.72.201.238 - - [24/Mar/2020:15:58:57 +0800] "GET /ecbms/welcome.jsp HTTP/1.1" 404 -
10.72.201.238 - - [24/Mar/2020:15:59:16 +0800] "GET /ecBms/welcome.jsp HTTP/1.1" 500 1270
10.72.201.238 - - [24/Mar/2020:16:01:33 +0800] "GET /ecBms/welcome.jsp HTTP/1.1" 500 902
10.72.201.238 - - [24/Mar/2020:16:01:33 +0800] "GET /favicon.ico HTTP/1.1" 200 21630
10.72.201.238 - - [24/Mar/2020:16:01:34 +0800] "GET /ecBms/welcome.jsp HTTP/1.1" 500 902
10.72.201.238 - - [24/Mar/2020:16:01:34 +0800] "GET /favicon.ico HTTP/1.1" 200 21630
10.72.201.238 - - [24/Mar/2020:16:01:34 +0800] "GET /ecBms/welcome.jsp HTTP/1.1" 500 902
10.72.201.238 - - [24/Mar/2020:16:01:34 +0800] "GET /favicon.ico HTTP/1.1" 200 21630
10.72.201.238 - - [24/Mar/2020:16:01:35 +0800] "GET /ecBms/welcome.jsp HTTP/1.1" 500 902
10.72.201.238 - - [24/Mar/2020:16:01:35 +0800] "GET /favicon.ico HTTP/1.1" 200 21630
10.72.201.238 - - [24/Mar/2020:16:02:06 +0800] "GET /ecBms/menu.jsp HTTP/1.1" 200 1489
10.72.201.238 - - [24/Mar/2020:16:02:06 +0800] "GET /ecBms/css/demo.css HTTP/1.1" 200 962
10.72.201.238 - - [24/Mar/2020:16:02:06 +0800] "GET /ecBms/css/zTreeStyle.css HTTP/1.1" 200 1477
