10.72.201.238 - - [30/Mar/2020:13:31:03 +0800] "GET /ecBms/index.jsp HTTP/1.1" 200 3467
10.72.201.238 - - [30/Mar/2020:13:31:04 +0800] "POST /ecBms/departmentAction/listDepartments HTTP/1.1" 200 289
10.72.201.238 - - [30/Mar/2020:13:32:43 +0800] "GET /ecBms/ HTTP/1.1" 200 3467
10.72.201.238 - - [30/Mar/2020:13:32:43 +0800] "POST /ecBms/departmentAction/listDepartments HTTP/1.1" 200 289
10.72.8.238 - - [30/Mar/2020:13:41:33 +0800] "GET /ecBMS HTTP/1.1" 404 -
10.72.201.238 - - [30/Mar/2020:13:41:39 +0800] "GET /ecBMS HTTP/1.1" 404 -
10.72.201.238 - - [30/Mar/2020:13:41:59 +0800] "GET /ecBMS HTTP/1.1" 404 -
10.72.201.238 - - [30/Mar/2020:13:42:35 +0800] "GET /ecBMS HTTP/1.1" 404 -
10.72.201.238 - - [30/Mar/2020:13:42:35 +0800] "GET /ecBMS HTTP/1.1" 404 -
10.72.201.238 - - [30/Mar/2020:13:42:35 +0800] "GET /ecBMS HTTP/1.1" 404 -
10.72.201.238 - - [30/Mar/2020:13:43:07 +0800] "GET /ecBms/menu.jsp HTTP/1.1" 200 1489
10.72.201.238 - - [30/Mar/2020:13:43:07 +0800] "POST /ecBms/employeeAction/listMenu HTTP/1.1" 200 28
10.72.201.238 - - [30/Mar/2020:13:43:07 +0800] "GET /ecBms/menu.jsp HTTP/1.1" 200 1489
10.72.201.238 - - [30/Mar/2020:13:43:07 +0800] "POST /ecBms/employeeAction/listMenu HTTP/1.1" 200 28
10.72.201.238 - - [30/Mar/2020:13:43:07 +0800] "GET /ecBms/menu.jsp HTTP/1.1" 200 1489
10.72.201.238 - - [30/Mar/2020:13:43:07 +0800] "POST /ecBms/employeeAction/listMenu HTTP/1.1" 200 28
10.72.201.238 - - [30/Mar/2020:13:43:07 +0800] "GET /ecBms/menu.jsp HTTP/1.1" 200 1489
10.72.201.238 - - [30/Mar/2020:13:43:07 +0800] "POST /ecBms/employeeAction/listMenu HTTP/1.1" 200 28
10.72.201.238 - - [30/Mar/2020:13:43:07 +0800] "GET /ecBms/menu.jsp HTTP/1.1" 200 1489
10.72.201.238 - - [30/Mar/2020:13:43:07 +0800] "POST /ecBms/employeeAction/listMenu HTTP/1.1" 200 28
10.72.201.238 - - [30/Mar/2020:13:43:07 +0800] "GET /ecBms/menu.jsp HTTP/1.1" 200 1489
10.72.201.238 - - [30/Mar/2020:13:43:07 +0800] "POST /ecBms/employeeAction/listMenu HTTP/1.1" 200 28
10.72.201.238 - - [30/Mar/2020:13:43:07 +0800] "GET /ecBms/menu.jsp HTTP/1.1" 200 1489
10.72.201.238 - - [30/Mar/2020:13:43:07 +0800] "POST /ecBms/employeeAction/listMenu HTTP/1.1" 200 28
10.72.201.238 - - [30/Mar/2020:13:43:07 +0800] "GET /ecBms/menu.jsp HTTP/1.1" 200 1489
10.72.201.238 - - [30/Mar/2020:13:43:08 +0800] "POST /ecBms/employeeAction/listMenu HTTP/1.1" 200 28
10.72.201.238 - - [30/Mar/2020:13:43:08 +0800] "GET /ecBms/menu.jsp HTTP/1.1" 200 1489
10.72.201.238 - - [30/Mar/2020:13:43:08 +0800] "POST /ecBms/employeeAction/listMenu HTTP/1.1" 200 28
10.72.201.238 - - [30/Mar/2020:13:43:08 +0800] "GET /ecBms/menu.jsp HTTP/1.1" 200 1489
10.72.201.238 - - [30/Mar/2020:13:43:08 +0800] "POST /ecBms/employeeAction/listMenu HTTP/1.1" 200 28
10.72.201.238 - - [30/Mar/2020:13:43:08 +0800] "GET /ecBms/menu.jsp HTTP/1.1" 200 1489
10.72.201.238 - - [30/Mar/2020:13:43:08 +0800] "POST /ecBms/employeeAction/listMenu HTTP/1.1" 200 28
10.72.201.238 - - [30/Mar/2020:13:43:08 +0800] "GET /ecBms/menu.jsp HTTP/1.1" 200 1489
10.72.201.238 - - [30/Mar/2020:13:43:08 +0800] "POST /ecBms/employeeAction/listMenu HTTP/1.1" 200 28
10.72.201.238 - - [30/Mar/2020:13:43:08 +0800] "GET /ecBms/menu.jsp HTTP/1.1" 200 1489
