   	TABLE_NAME	COLUMN_NAME	T.DATA_TYPE||'('||T.DATA_LENGT	COMMENTS
1	TB_PERSON_CLIENT_TMP	IS_USE_MOBILE	VARCHAR2(2)	
2	TB_PERSON_CLIENT_TMP	IS_USE_EMAIL	VARCHAR2(2)	
3	TB_PERSON_CLIENT_TMP	QQ	VARCHAR2(20)	
4	TB_PERSON_CLIENT_TMP	ID_CARD_EXPIRE_DATE_F	VARCHAR2(1)	
5	TB_PERSON_CLIENT_TMP	ASS_RESULTS	VARCHAR2(200)	
6	TB_PERSON_CLIENT_TMP	NATION	VARCHAR2(20)	
7	TB_PERSON_CLIENT_TMP	CARD_ADDRESS	VARCHAR2(100)	
8	TB_PERSON_CLIENT_TMP	ID_CARD_BEGIN_EXPIRE_DATE	DATE(7)	
9	TB_PERSON_CLIENT_TMP	ADDTEL	VARCHAR2(50)	
10	TB_PERSON_CLIENT_TMP	REMARK	VARCHAR2(200)	
11	TB_PROCESS_APPLY_SYSTEM	ID	NUMBER(22)	
12	TB_PROCESS_APPLY_SYSTEM	FUNDACCOUNT	VARCHAR2(200)	
13	TB_PROCESS_APPLY_SYSTEM	USERNAME	VARCHAR2(200)	
14	TB_PROCESS_APPLY_SYSTEM	TRUENAME	VARCHAR2(200)	
15	TB_PROCESS_APPLY_SYSTEM	MESSAGE	VARCHAR2(1000)	
16	TB_PROCESS_APPLY_SYSTEM	CERTIFICATE_NO	VARCHAR2(200)	
17	TB_PROCESS_APPLY_SYSTEM	CREATE_TIME	DATE(7)	
18	TB_PROCESS_APPLY_SYSTEM	STATE	VARCHAR2(200)	
19	TB_PROCESS_APPLY_SYSTEM	PROCESSID	VARCHAR2(200)	
20	TB_PROCESS_APPLY_SYSTEM	C_EDITABLE	VARCHAR2(1)	客户是否可编辑
21	TB_PROCESS_APPLY_SYSTEM	APPLYTYPE	VARCHAR2(1)	
22	TB_PROCESS_APPLY_SYSTEM_LOG	ID	NUMBER(22)	
23	TB_PROCESS_APPLY_SYSTEM_LOG	EMP_ID	NUMBER(22)	
24	TB_PROCESS_APPLY_SYSTEM_LOG	LOG	VARCHAR2(1000)	
25	TB_PROCESS_APPLY_SYSTEM_LOG	BUSINESSID	NUMBER(22)	
26	TB_PROCESS_APPLY_SYSTEM_MSG	ID	NUMBER(22)	
27	TB_PROCESS_APPLY_SYSTEM_MSG	EMP_ID	NUMBER(22)	
28	TB_PROCESS_APPLY_SYSTEM_MSG	MESSAGE	VARCHAR2(500)	
29	TB_PROCESS_APPLY_SYSTEM_MSG	BUSINESSID	NUMBER(22)	
30	TB_PROCESS_BROBRO_REL	ID	NUMBER(22)	主键
31	TB_PROCESS_BROBRO_REL	CHILD_BORKER_ID	VARCHAR2(255)	子居间ID
32	TB_PROCESS_BROBRO_REL	PARENT_BROKER_ID	NUMBER(22)	父居间ID
33	TB_PROCESS_BROBRO_REL	PROCESS_ID	VARCHAR2(100)	流程实例ID
34	TB_PROCESS_BROBRO_REL	PROCESS_INFO	VARCHAR2(100)	流程状态
35	TB_PROCESS_BROBRO_REL	CREATE_TIME	DATE(7)	发起日期
36	TB_PROCESS_BROBRO_REL	FILE_PATH	VARCHAR2(500)	文件路径
37	TB_PROCESS_BROCLI_REL	ID	NUMBER(22)	
38	TB_PROCESS_BROCLI_REL	COOPERATE_ID	NUMBER(22)	居间表id
39	TB_PROCESS_BROCLI_REL	EMP_ID	NUMBER(22)	员工表id
40	TB_PROCESS_BROCLI_REL	COOPERATE_TYPE	NUMBER(22)	居间类型(1为普通居间，2为员工居间)
41	TB_PROCESS_BROCLI_REL	CLIENT_ID	NUMBER(22)	客户id
42	TB_PROCESS_BROCLI_REL	PROCESS_ID	VARCHAR2(100)	流程实例id
43	TB_PROCESS_BROCLI_REL	STATUS	NUMBER(22)	状态
44	TB_PROCESS_BROCLI_REL	CREATE_TIME	DATE(7)	发起日期
45	TB_PROCESS_BROCLI_REL	PROCESS_INFO	VARCHAR2(100)	流程实例到达状态
46	TB_PROCESS_BROCLI_REL	FILE_PATH	VARCHAR2(500)	文件路径
47	TB_PROCESS_CHANGEBROBRO_REL	ID	NUMBER(22)	
48	TB_PROCESS_CHANGEBROBRO_REL	BEFORE_PBORKER_ACCOUNT	VARCHAR2(100)	
49	TB_PROCESS_CHANGEBROBRO_REL	AFTER_PBROKER_ACCOUNT	VARCHAR2(100)	
50	TB_PROCESS_CHANGEBROBRO_REL	PROCESS_ID	VARCHAR2(200)	
51	TB_PROCESS_CHANGEBROBRO_REL	PROCESS_INFO	VARCHAR2(100)	
52	TB_PROCESS_CHANGEBROBRO_REL	CREATE_TIME	DATE(7)	
53	TB_PROCESS_CHANGEBROBRO_REL	FILE_PATH	VARCHAR2(500)	
54	TB_PROCESS_CHANGEBROBRO_REL	BROKER_ACCOUNT	VARCHAR2(100)	
55	TB_PROCESS_CHANGEBROCLI_REL	ID	NUMBER(22)	
56	TB_PROCESS_CHANGEBROCLI_REL	BEF_JUJIAN_ID	NUMBER(22)	修改前挂靠居间id
57	TB_PROCESS_CHANGEBROCLI_REL	AFT_JUJIAN_ID	NUMBER(22)	修改后挂靠居间id
58	TB_PROCESS_CHANGEBROCLI_REL	CLIENT_ID	NUMBER(22)	客户id
59	TB_PROCESS_CHANGEBROCLI_REL	OPERATE_TYPE	NUMBER(22)	"操作类型(1为居间->居间，2为居间->员工,3为员工->员工，4为员工->居间)"
60	TB_PROCESS_CHANGEBROCLI_REL	PROCESS_ID	VARCHAR2(100)	流程
61	TB_PROCESS_CHANGEBROCLI_REL	STATUS	NUMBER(22)	状态
62	TB_PROCESS_CHANGEBROCLI_REL	CREATE_TIME	DATE(7)	发起日期
63	TB_PROCESS_CHANGEBROCLI_REL	JUJIAN_ACCOUNT	VARCHAR2(100)	新居间的账号
64	TB_PROCESS_CHANGEBROCLI_REL	FILE_PATH	VARCHAR2(500)	文件路径
65	TB_PROCESS_CHANGE_INFO	ID	NUMBER(22)	
66	TB_PROCESS_CHANGE_INFO	FUNDACCOUNT	VARCHAR2(200)	
67	TB_PROCESS_CHANGE_INFO	USERNAME	VARCHAR2(200)	
68	TB_PROCESS_CHANGE_INFO	TRUENAME	VARCHAR2(200)	
69	TB_PROCESS_CHANGE_INFO	MESSAGE	VARCHAR2(1000)	
70	TB_PROCESS_CHANGE_INFO	CERTIFICATE_NO	VARCHAR2(200)	
71	TB_PROCESS_CHANGE_INFO	CREATE_TIME	DATE(7)	
72	TB_PROCESS_CHANGE_INFO	STATE	VARCHAR2(200)	
73	TB_PROCESS_CHANGE_INFO	PROCESSID	VARCHAR2(200)	
74	TB_PROCESS_CHANGE_INFO	C_EDITABLE	VARCHAR2(1)	客户是否可编辑
75	TB_PROCESS_CHANGE_INFO_LOG	ID	NUMBER(22)	
76	TB_PROCESS_CHANGE_INFO_LOG	EMP_ID	NUMBER(22)	
77	TB_PROCESS_CHANGE_INFO_LOG	LOG	VARCHAR2(1000)	
78	TB_PROCESS_CHANGE_INFO_LOG	BUSINESSID	NUMBER(22)	
79	TB_PROCESS_CHANGE_INFO_MSG	ID	NUMBER(22)	
80	TB_PROCESS_CHANGE_INFO_MSG	EMP_ID	NUMBER(22)	
81	TB_PROCESS_CHANGE_INFO_MSG	MESSAGE	VARCHAR2(500)	
82	TB_PROCESS_CHANGE_INFO_MSG	BUSINESSID	NUMBER(22)	
83	TB_PROCESS_CHANGE_SYSTEM	ID	NUMBER(22)	
84	TB_PROCESS_CHANGE_SYSTEM	FUNDACCOUNT	VARCHAR2(200)	
85	TB_PROCESS_CHANGE_SYSTEM	USERNAME	VARCHAR2(200)	
